Temperature,Vibration,Pressure,Flow_Rate,Current,Voltage,FFT_Temp_0,FFT_Vib_0,FFT_Pres_0,FFT_Temp_1,FFT_Vib_1,FFT_Pres_1,FFT_Temp_2,FFT_Vib_2,FFT_Pres_2,FFT_Temp_3,FFT_Vib_3,FFT_Pres_3,FFT_Temp_4,FFT_Vib_4,FFT_Pres_4,FFT_Temp_5,FFT_Vib_5,FFT_Pres_5,FFT_Temp_6,FFT_Vib_6,FFT_Pres_6,FFT_Temp_7,FFT_Vib_7,FFT_Pres_7,FFT_Temp_8,FFT_Vib_8,FFT_Pres_8,FFT_Temp_9,FFT_Vib_9,FFT_Pres_9,Fault_Type
46.00613839,2.038361949,56.77576627,6.184384884,12.40951919,215.7624032,772.4030556,32.43653697,971.8053329,3.76063999,0.734032908,30.87456807,8.787639238,1.157285565,4.368855701,22.08853842,1.28996244,33.97044483,2.527476739,0.436747366,23.42855838,2.203178125,1.665418087,25.82056733,2.527476739,0.436747366,23.42855838,22.08853842,1.28996244,33.97044483,8.787639238,1.157285565,4.368855701,3.76063999,0.734032908,30.87456807,0
62.52916825,2.573668271,76.15984321,8.279229978,14.90638953,215.4658589,767.6023964,32.39555628,962.4815171,8.365136938,0.724558625,27.26829548,12.55352468,1.130836636,8.104434509,19.49031039,1.283112584,41.36409634,6.938894922,0.413275715,25.07217429,7.003837354,1.624437402,35.14438322,6.938894922,0.413275715,25.07217429,19.49031039,1.283112584,41.36409634,12.55352468,1.130836636,8.104434509,8.365136938,0.724558625,27.26829548,0
77.29501487,3.243490603,92.37261387,9.172788933,15.05405062,202.0435683,765.9650691,32.03203924,956.299456,9.559769343,0.934401187,30.13712662,12.29182876,0.80343019,13.26243614,21.10899294,0.972255548,43.41711949,5.463528871,0.534188943,20.17910607,5.366510092,1.987954441,28.96232214,5.463528871,0.534188943,20.17910607,21.10899294,0.972255548,43.41711949,12.29182876,0.80343019,13.26243614,9.559769343,0.934401187,30.13712662,0
76.56416376,3.142903597,94.14955784,13.77537531,16.41789104,216.6990981,763.9364378,33.03985449,956.5322317,10.25186578,0.169233788,29.91993843,10.32111015,1.139869964,13.29343131,20.86372599,0.60625088,43.64890786,6.57744114,1.168588015,19.94796449,7.395141425,2.995769692,28.72954643,6.57744114,1.168588015,19.94796449,20.86372599,0.60625088,43.64890786,10.32111015,1.139869964,13.29343131,10.25186578,0.169233788,29.91993843,0
78.28164088,3.139959551,94.44100613,11.11310625,10.89942491,227.3282908,746.7548873,33.01872897,950.212816,18.31310726,0.172677849,36.06506667,14.44164872,1.149088134,7.149397462,8.163299652,0.627348392,45.46178654,17.84782565,1.178280674,14.75487465,9.78640908,3.016895213,22.41013072,17.84782565,1.178280674,14.75487465,8.163299652,0.627348392,45.46178654,14.44164872,1.149088134,7.149397462,18.31310726,0.172677849,36.06506667,1
78.40138707,3.197513694,94.39166871,7.329036862,16.77770182,207.2576788,739.301065,33.53759922,977.4437111,22.06953784,0.405081702,27.10381438,20.97852518,0.640159273,32.00787637,15.61240023,0.912348772,29.51868406,10.79202515,1.217576775,27.95373903,2.332586791,3.535765457,4.820764373,10.79202515,1.217576775,27.95373903,15.61240023,0.912348772,29.51868406,20.97852518,0.640159273,32.00787637,22.06953784,0.405081702,27.10381438,0
76.40888283,3.367162644,96.32608311,10.97207258,6.886825105,230.4848265,737.6603121,33.43981192,973.3725126,22.21721642,0.353824607,24.51879738,20.88911291,0.652452415,31.7226548,15.14460139,0.877791379,25.44932711,11.6899097,1.188866782,32.01130652,3.973339653,3.633552758,8.891962835,11.6899097,1.188866782,32.01130652,15.14460139,0.877791379,25.44932711,20.88911291,0.652452415,31.7226548,22.21721642,0.353824607,24.51879738,0
77.18559625,3.243816791,101.9884527,6.905392022,13.11034634,224.8777482,724.7000924,32.66650631,970.7153094,19.61634461,0.909296329,22.00967539,9.319990502,0.381416498,34.25488383,7.938513764,1.651092661,26.4701186,17.36034847,1.853912558,30.03657595,8.986880026,2.860247146,6.234759668,17.36034847,1.853912558,30.03657595,7.938513764,1.651092661,26.4701186,9.319990502,0.381416498,34.25488383,19.61634461,0.909296329,22.00967539,0
76.95631551,3.336207659,98.34674557,12.16538211,13.53517847,212.6576668,722.4341554,32.10697749,958.8475721,18.61197127,1.459169799,11.05825294,7.462172922,0.433135811,42.1909383,10.11340497,1.569691982,36.04098519,15.11026445,1.312091015,34.21855756,6.720943044,3.419775964,18.102497,15.11026445,1.312091015,34.21855756,10.11340497,1.569691982,36.04098519,7.462172922,0.433135811,42.1909383,18.61197127,1.459169799,11.05825294,0
74.91137294,3.266448298,96.81888506,9.057750696,16.89998048,218.5847036,720.241407,31.42202748,958.6092957,16.76559216,2.006690063,10.97327453,8.518086393,0.638090345,42.09567048,9.128676337,0.932532662,35.86362778,17.06567278,1.807328862,34.24311732,8.913691492,2.734825953,17.86422062,17.06567278,1.807328862,34.24311732,9.128676337,0.932532662,35.86362778,8.518086393,0.638090345,42.09567048,16.76559216,2.006690063,10.97327453,1
